"","Kanal 1 Durchschn. (V)"
"632","0,862739"
"633","0,864205"
"634","0,864745"
"635","0,866366"
"636","0,868140"
"637","0,869066"
"638","0,870224"
"639","0,872076"
"640","0,873310"
"641","0,874390"
"642","0,875702"
"643","0,877708"
"644","0,878557"
"645","0,879869"
"646","0,881566"
"647","0,883187"
"648","0,883727"
"649","0,885270"
"650","0,886890"
"651","0,888202"
"652","0,889283"
"653","0,890749"
"654","0,892523"
"655","0,893218"
"656","0,894221"
"657","0,896536"
"658","0,897693"
"659","0,898619"
"660","0,900239"
"661","0,902014"
"662","0,902786"
"663","0,903943"
"664","0,905718"
"665","0,907261"
"666","0,907955"
"667","0,909499"
"668","0,911428"
"669","0,912508"
"670","0,913357"
"671","0,915286"
"672","0,916598"
"673","0,917601"
"674","0,918835"
"675","0,920764"
"676","0,921767"
"677","0,922770"
"678","0,924777"
"679","0,926088"
"680","0,926783"
"681","0,928480"
"682","0,930178"
"683","0,931490"
"684","0,932107"
"685","0,933727"
"686","0,935502"
"687","0,936351"
"688","0,937508"
"689","0,940055"
"690","0,941598"
"691","0,942292"
"692","0,943681"
"693","0,945610"
"694","0,946459"
"695","0,947385"
"696","0,949391"
"697","0,950703"
"698","0,951552"
"699","0,953018"
"700","0,954947"
"701","0,955718"
"702","0,956876"
"703","0,958805"
"704","0,960117"
"705","0,960888"
"706","0,962123"
"707","0,964052"
"708","0,965132"
"709","0,966212"
"710","0,967524"
"711","0,969376"
"712","0,970225"
"713","0,971305"
"714","0,972848"
"715","0,974468"
"716","0,975240"
"717","0,976706"
"718","0,978635"
"719","0,979407"
"720","0,980487"
"721","0,982030"
"722","0,983496"
"723","0,984268"
"724","0,985888"
"725","0,987663"
"726","0,988589"
"727","0,989746"
"728","0,991598"
"729","0,993141"
"730","0,992035"
"731","0,995379"
"732","0,997154"
"733","0,998080"
"734","0,999006"
"735","1,000858"
"736","1,002478"
"737","1,003250"
"738","1,004407"
"739","1,006567"
"740","1,007185"
"741","1,008265"
"742","1,010040"
"743","1,011506"
"744","1,012277"
"745","1,013358"
"746","1,015364"
"747","1,016598"
"748","1,017216"
"749","1,018605"
"750","1,020379"
"751","1,021228"
"752","1,022231"
"753","1,024237"
"754","1,025781"
"755","1,026707"
"756","1,027632"
"757","1,029639"
"758","1,030642"
"759","1,031413"
"760","1,033111"
"761","1,034731"
"762","1,035657"
"763","1,036892"
"764","1,038821"
"765","1,039824"
"766","1,040750"
"767","1,042602"
"768","1,044068"
"769","1,044917"
"770","1,045920"
"771","1,048003"
"772","1,048929"
"773","1,049623"
"774","1,051167"
"775","1,053096"
"776","1,053944"
"777","1,055102"
"778","1,056645"
"779","1,058420"
"780","1,058883"
"781","1,060426"
"782","1,062046"
"783","1,063204"
"784","1,063898"
"785","1,065673"
"786","1,067293"
"787","1,068142"
"788","1,069068"
"789","1,070920"
"790","1,072463"
"791","1,073003"
"792","1,074469"
"793","1,076321"
"794","1,077016"
"795","1,078250"
"796","1,079948"
"797","1,081414"
"798","1,082185"
"799","1,083189"
"800","1,085040"
"801","1,086275"
"802","1,087278"
"803","1,088976"
"804","1,090287"
"805","1,091290"
"806","1,092602"
"807","1,094068"
"808","1,095303"
"809","1,095997"
"810","1,097463"
"811","1,099238"
"812","1,100241"
"813","1,100781"
"814","1,102865"
"815","1,104331"
"816","1,105102"
"817","1,106491"
"818","1,108112"
"819","1,109192"
"820","1,109963"
"821","1,111584"
"822","1,113359"
"823","1,113976"
"824","1,114979"
"825","1,116908"
"826","1,117988"
"827","1,119069"
"828","1,120303"
"829","1,122155"
"830","1,122849"
"831","1,124007"
"832","1,125451"
"833","1,127016"
"834","1,127711"
"835","1,128945"
"836","1,130720"
"837","1,131877"
"838","1,132726"
"839","1,134346"
"840","1,135890"
"841","1,136893"
"842","1,137664"
"843","1,139748"
"844","1,141059"
"845","1,141522"
"846","1,142988"
"847","1,144840"
"848","1,145689"
"849","1,146615"
"850","1,148313"
"851","1,149701"
"852","1,150550"
"853","1,151630"
"854","1,153637"
"855","1,154640"
"856","1,155489"
"857","1,156877"
"858","1,158652"
"859","1,159578"
"860","1,160350"
"861","1,162202"
"862","1,163513"
"863","1,164285"
"864","1,165365"
"865","1,167371"
"866","1,168374"
"867","1,168992"
"868","1,170766"
"869","1,172464"
"870","1,173313"
"871","1,174547"
"872","1,176554"
"873","1,178020"
"874","1,178405"
"875","1,180026"
"876","1,181878"
"877","1,182649"
"878","1,183498"
"879","1,185273"
"880","1,186893"
"881","1,187665"
"882","1,188591"
"883","1,190520"
"884","1,191677"
"885","1,192217"
"886","1,193992"
"887","1,195767"
"888","1,196693"
"889","1,197387"
"890","1,199239"
"891","1,200705"
"892","1,201245"
"893","1,202634"
"894","1,204486"
"895","1,205335"
"896","1,206029"
"897","1,207727"
"898","1,209347"
"899","1,209964"
"900","1,210890"
"901","1,213051"
"902","1,213900"
"903","1,214825"
"904","1,216292"
"905","1,218143"
"906","1,218684"
"907","1,219764"
"908","1,221461"
"909","1,222696"
"910","1,223468"
"911","1,224702"
"912","1,226245"
"913","1,227480"
"914","1,228252"
"915","1,229872"
"916","1,231569"
"917","1,232573"
"918","1,233113"
"919","1,234810"
"920","1,236508"
"921","1,237048"
"922","1,238360"
"923","1,240289"
"924","1,241215"
"925","1,241678"
"926","1,243452"
"927","1,244996"
"928","1,245602"
"929","1,246925"
"930","1,248622"
"931","1,249934"
"932","1,250397"
"933","1,251786"
"934","1,253638"
"935","1,254564"
"936","1,255335"
"937","1,257110"
"938","1,258422"
"939","1,259502"
"940","1,259888"
"941","1,261739"
"942","1,262974"
"943","1,263514"
"944","1,264672"
"945","1,266986"
"946","1,268221"
"947","1,268452"
"948","1,269996"
"949","1,271770"
"950","1,272542"
"951","1,273699"
"952","1,275320"
"953","1,276863"
"954","1,277172"
"955","1,278329"
"956","1,279872"
"957","1,281030"
"958","1,281956"
"959","1,283576"
"960","1,285274"
"961","1,286045"
"962","1,286894"
"963","1,288669"
"964","1,289826"
"965","1,290752"
"966","1,291987"
"967","1,293761"
"968","1,294919"
"969","1,295459"
