"","Kanal 1 Durchschn. (V)","Kanal 4 Durchschn. (V)"
"702","0,002163","0,001323"
"703","0,001947","0,001425"
"704","0,002366","0,001570"
"705","0,002187","0,001374"
"706","0,001893","0,001709"
"707","0,001935","0,001308"
"708","0,002650","0,001603"
"709","0,002366","0,001308"
"710","0,002055","0,001465"
"711","0,002271","0,001657"
"712","0,002650","0,001526"
"713","0,001935","0,001425"
"714","0,002163","0,001308"
"715","0,002523","0,001628"
"716","0,002366","0,001297"
"717","0,001850","0,001587"
"718","0,002187","0,001657"
"719","0,002439","0,001526"
"720","0,001987","0,001047"
"721","0,002271","0,001425"
"722","0,002103","0,001570"
"723","0,002366","0,001483"
"724","0,002397","0,001395"
"725","0,002176","0,001221"
"726","0,002460","0,001657"
"727","0,001935","0,001221"
"728","0,001850","0,001145"
"729","0,002347","0,001679"
"730","0,002355","0,001679"
"731","0,002103","0,001425"
"732","0,001893","0,001526"
"733","0,002650","0,001450"
"734","0,001987","0,001425"
"735","0,001893","0,001221"
"736","0,002460","0,001570"
"737","0,002120","0,001297"
"738","0,001893","0,001221"
"739","0,002082","0,001308"
"740","0,002366","0,001603"
"741","0,002271","0,001526"
"742","0,002055","0,001119"
"743","0,002366","0,001832"
"744","0,002460","0,001483"
"745","0,002055","0,001343"
"746","0,002145","0,001709"
"747","0,002019","0,001374"
"748","0,002366","0,001308"
"749","0,001893","0,001323"
"750","0,002271","0,001425"
"751","0,002271","0,001570"
"752","0,002082","0,001221"
"753","0,001798","0,001343"
"754","0,002460","0,001221"
"755","0,002366","0,001308"
"756","0,001987","0,001465"
"757","0,002055","0,001425"
"758","0,002650","0,001450"
"759","0,002271","0,001323"
"760","0,002163","0,001587"
"761","0,002103","0,001374"
"762","0,002555","0,001395"
"763","0,002163","0,001425"
"764","0,001987","0,001221"
"765","0,002650","0,001657"
"766","0,002271","0,001709"
"767","0,001893","0,001221"
"768","0,002271","0,001450"
"769","0,002608","0,001526"
"770","0,002082","0,001323"
"771","0,001893","0,001425"
"772","0,002523","0,001560"
